eventid,eventtype,alertlevel,country,fromdate,todate,magnitude,depth,rapidpopdescription,maximum_wind_speed_kmh,maximum_storm_surge_m,exposed_population,duration_days,burned_area_ha,people_affected,affected_area_km2,affected_country_count,severity_level,severity_text
1533969,EQ,green,Tonga,2026-04-07T05:55:15,2026-04-07T05:55:15,4.6,204.2,Few people affected in MMI -,,,,,,,,,,
1533954,EQ,green,Northern Molucca Sea,2026-04-07T03:43:09,2026-04-07T03:43:09,4.8,46.6,,,,,,,,,,,
1533908,EQ,green,West Chile Rise,2026-04-06T23:58:37,2026-04-06T23:58:37,4.7,10.0,,,,,,,,,,,
1533805,EQ,green,Japan,2026-04-06T13:14:51,2026-04-06T13:14:51,4.6,10.0,20 thousand in MMI II,,,,,,,,,,
1533807,EQ,green,South Sandwich Islands Region,2026-04-06T13:09:29,2026-04-06T13:09:29,4.9,10.0,,,,,,,,,,,
1533793,EQ,green,Pacific-Antarctic Ridge,2026-04-06T11:18:37,2026-04-06T11:18:37,5.6,10.0,,,,,,,,,,,
1533767,EQ,green,Papua New Guinea,2026-04-06T08:27:49,2026-04-06T08:27:49,4.8,109.9,30 thousand in MMI III,,,,,,,,,,
1533764,EQ,green,Vanuatu,2026-04-06T08:19:52,2026-04-06T08:19:52,4.5,162.9,90 thousand in MMI III,,,,,,,,,,
1533757,EQ,green,Philippines,2026-04-06T07:22:42,2026-04-06T07:22:42,5.2,10.0,20 thousand in MMI VI,,,,,,,,,,
1533752,EQ,green,"Southeast Of Shikoku, Japan",2026-04-06T06:45:10,2026-04-06T06:45:10,4.9,10.0,,,,,,,,,,,
1533748,EQ,green,South Of Kermadec Islands,2026-04-06T06:15:25,2026-04-06T06:15:25,5.2,10.0,,,,,,,,,,,
1533739,EQ,green,Indonesia,2026-04-06T05:32:11,2026-04-06T05:32:11,4.9,35.0,20 thousand in MMI III,,,,,,,,,,
1533728,EQ,green,Greece,2026-04-06T04:20:50,2026-04-06T04:20:50,4.6,10.0,20 thousand in MMI V,,,,,,,,,,
1533703,EQ,green,Indonesia,2026-04-06T01:56:46,2026-04-06T01:56:46,4.8,35.0,1 thousand in MMI>=II,,,,,,,,,,
1533686,EQ,green,Kermadec Islands Region,2026-04-06T00:42:27,2026-04-06T00:42:27,5.4,10.0,,,,,,,,,,,
1533666,EQ,green,Argentina,2026-04-05T22:56:06,2026-04-05T22:56:06,4.5,242.4,100 thousand in MMI I,,,,,,,,,,
1533659,EQ,green,Indonesia,2026-04-05T22:18:02,2026-04-05T22:18:02,4.6,35.0,Few people affected in MMI -,,,,,,,,,,
1533638,EQ,green,Indonesia,2026-04-05T18:55:03,2026-04-05T18:55:03,4.5,35.0,260 thousand in MMI II,,,,,,,,,,
1533633,EQ,green,Argentina,2026-04-05T17:44:49,2026-04-05T17:44:49,4.5,535.7,530 thousand in MMI I,,,,,,,,,,
1533622,EQ,green,South Of Kermadec Islands,2026-04-05T17:19:51,2026-04-05T17:19:51,5.3,10.0,,,,,,,,,,,
1533621,EQ,green,Kermadec Islands Region,2026-04-05T17:10:41,2026-04-05T17:10:41,5.1,35.0,,,,,,,,,,,
1533608,EQ,green,Taiwan,2026-04-05T15:34:01,2026-04-05T15:34:01,4.6,135.2,5 thousand in MMI III,,,,,,,,,,
1533584,EQ,green,China,2026-04-05T13:24:30,2026-04-05T13:24:30,4.9,10.0,20 thousand in MMI>=IV,,,,,,,,,,
1533580,EQ,green,South Of Kermadec Islands,2026-04-05T13:22:15,2026-04-05T13:22:15,5.5,10.0,,,,,,,,,,,
1533556,EQ,green,Southern Molucca Sea,2026-04-05T11:09:14,2026-04-05T11:09:14,4.6,36.6,,,,,,,,,,,
1533540,EQ,green,"Andreanof Islands, Aleutian Is.",2026-04-05T09:19:38,2026-04-05T09:19:38,4.6,35.0,,,,,,,,,,,
1533472,EQ,green,China,2026-04-05T02:21:53,2026-04-05T02:21:53,4.6,10.0,130 thousand in MMI>=IV,,,,,,,,,,
1533470,EQ,green,Japan,2026-04-05T02:18:02,2026-04-05T02:18:02,5.1,10.0,Few people affected in MMI -,,,,,,,,,,
1533444,EQ,green,Indonesia,2026-04-05T01:12:14,2026-04-05T01:12:14,4.6,35.0,Few people affected in MMI -,,,,,,,,,,
1533420,EQ,green,Indonesia,2026-04-04T22:37:50,2026-04-04T22:37:50,4.5,35.0,360 thousand in MMI II,,,,,,,,,,
1533422,EQ,green,Kermadec Islands Region,2026-04-04T22:31:20,2026-04-04T22:31:20,5.0,30.9,,,,,,,,,,,
1533396,EQ,green,Indonesia,2026-04-04T20:16:26,2026-04-04T20:16:26,4.8,57.9,390 thousand in MMI III,,,,,,,,,,
1533398,EQ,green,Northern Molucca Sea,2026-04-04T20:11:27,2026-04-04T20:11:27,4.6,35.0,,,,,,,,,,,
1533386,EQ,green,Indonesia,2026-04-04T18:59:13,2026-04-04T18:59:13,4.7,27.8,3 thousand in MMI III,,,,,,,,,,
1533376,EQ,green,Australia,2026-04-04T18:26:13,2026-04-04T18:26:13,5.5,10.0,Few people affected (in MMI>=VII),,,,,,,,,,
1533366,EQ,green,Taiwan,2026-04-04T17:14:57,2026-04-04T17:14:57,5.5,22.1,210 thousand in MMI VI,,,,,,,,,,
1533363,EQ,green,Off Coast Of Central America,2026-04-04T16:37:22,2026-04-04T16:37:22,4.6,10.0,,,,,,,,,,,
1533357,EQ,green,Papua New Guinea,2026-04-04T16:23:07,2026-04-04T16:23:07,5.2,103.4,30 thousand in MMI IV,,,,,,,,,,
1533361,EQ,green,Japan,2026-04-04T16:14:13,2026-04-04T16:14:13,4.6,42.3,40 thousand in MMI III,,,,,,,,,,
1533352,EQ,green,Chile,2026-04-04T15:48:37,2026-04-04T15:48:37,4.5,115.0,4 thousand in MMI III,,,,,,,,,,
1533302,EQ,green,Ecuador,2026-04-04T12:23:28,2026-04-04T12:23:28,4.9,46.7,30 thousand in MMI IV,,,,,,,,,,
1533291,EQ,green,Indonesia,2026-04-04T11:21:12,2026-04-04T11:21:12,5.2,40.8,1 thousand in MMI IV,,,,,,,,,,
1533280,EQ,green,Papua New Guinea,2026-04-04T10:48:43,2026-04-04T10:48:43,4.9,71.2,190 thousand in MMI IV,,,,,,,,,,
1533279,EQ,green,Japan,2026-04-04T10:36:46,2026-04-04T10:36:46,5.0,68.0,440 thousand in MMI IV,,,,,,,,,,
1533278,EQ,green,Philippines,2026-04-04T10:34:31,2026-04-04T10:34:31,6.0,99.6,280 thousand in MMI IV,,,,,,,,,,
1533263,EQ,green,"Rat Islands, Aleutian Islands",2026-04-04T09:39:52,2026-04-04T09:39:52,4.5,40.7,,,,,,,,,,,
1533259,EQ,green,Chile,2026-04-04T09:22:35,2026-04-04T09:22:35,4.8,56.0,230 thousand in MMI III,,,,,,,,,,
1533247,EQ,green,Tonga,2026-04-04T08:33:48,2026-04-04T08:33:48,4.6,90.8,20 thousand in MMI III,,,,,,,,,,
1533243,EQ,green,"Off E. Coast Of N. Island, N.Z.",2026-04-04T08:12:51,2026-04-04T08:12:51,5.0,10.0,,,,,,,,,,,
1533203,EQ,green,Türkiye,2026-04-04T05:52:42,2026-04-04T05:52:42,5.1,6.3,,,,,,,,,,,
1533187,EQ,green,Mid-Indian Ridge,2026-04-04T04:55:32,2026-04-04T04:55:32,5.5,10.0,,,,,,,,,,,
1533164,EQ,green,Northern Molucca Sea,2026-04-04T02:53:11,2026-04-04T02:53:11,4.9,49.7,,,,,,,,,,,
1533130,EQ,green,Indonesia,2026-04-04T01:35:00,2026-04-04T01:35:00,5.9,48.7,,,,,,,,,,,
1533101,EQ,green,Indonesia,2026-04-03T22:49:49,2026-04-03T22:49:49,4.7,35.0,Few people affected in MMI -,,,,,,,,,,
1533097,EQ,green,Indonesia,2026-04-03T22:33:00,2026-04-03T22:33:00,4.5,35.0,Few people affected in MMI -,,,,,,,,,,
1533079,EQ,green,Indonesia,2026-04-03T21:19:06,2026-04-03T21:19:06,5.1,35.0,4 thousand in MMI III,,,,,,,,,,
1533026,EQ,green,Afghanistan,2026-04-03T16:12:58,2026-04-03T16:12:58,5.8,186.4,1.1 million in MMI IV,,,,,,,,,,
1532993,EQ,green,United States,2026-04-03T14:07:35,2026-04-03T14:07:35,4.6,35.0,,,,,,,,,,,
1532960,EQ,green,Indonesia,2026-04-03T10:59:07,2026-04-03T10:59:07,5.1,35.0,30 thousand in MMI III,,,,,,,,,,
1532953,EQ,green,Tajikistan,2026-04-03T10:26:42,2026-04-03T10:26:42,5.5,10.0,2 thousand in MMI VI,,,,,,,,,,
1532940,EQ,green,Indonesia,2026-04-03T09:24:07,2026-04-03T09:24:07,4.9,35.0,6 thousand in MMI III,,,,,,,,,,
1532925,EQ,green,United States,2026-04-03T08:22:08,2026-04-03T08:22:08,5.1,10.0,,,,,,,,,,,
1532914,EQ,green,Russian Federation,2026-04-03T07:06:45,2026-04-03T07:06:45,4.5,61.1,200 thousand in MMI III,,,,,,,,,,
1532875,EQ,green,Indonesia,2026-04-03T04:55:45,2026-04-03T04:55:45,4.5,35.0,60 thousand in MMI II,,,,,,,,,,
1532870,EQ,green,Indonesia,2026-04-03T04:42:05,2026-04-03T04:42:05,5.2,35.0,40 thousand in MMI III,,,,,,,,,,
1532856,EQ,green,Indonesia,2026-04-03T03:37:16,2026-04-03T03:37:16,5.4,35.0,7 thousand in MMI III,,,,,,,,,,
1532845,EQ,green,Tonga Islands,2026-04-03T02:50:12,2026-04-03T02:50:12,4.8,151.0,,,,,,,,,,,
1532838,EQ,green,Kermadec Islands Region,2026-04-03T02:33:49,2026-04-03T02:33:49,5.0,217.3,,,,,,,,,,,
1532842,EQ,green,Northern Molucca Sea,2026-04-03T02:28:42,2026-04-03T02:28:42,4.9,35.0,,,,,,,,,,,
1532833,EQ,green,Indonesia,2026-04-03T02:23:49,2026-04-03T02:23:49,4.6,35.0,Few people affected in MMI>=II,,,,,,,,,,
1532835,EQ,green,Russia,2026-04-03T02:10:53,2026-04-03T02:10:53,5.1,35.0,Few people affected in MMI -,,,,,,,,,,
1532848,EQ,green,Indonesia,2026-04-03T02:05:54,2026-04-03T02:05:54,4.8,35.0,2 thousand in MMI III,,,,,,,,,,
1532831,EQ,green,Indonesia,2026-04-03T01:57:59,2026-04-03T01:57:59,4.7,35.0,Few people affected in MMI -,,,,,,,,,,
1532816,EQ,green,Indonesia,2026-04-03T01:44:13,2026-04-03T01:44:13,5.3,35.0,Few people affected in MMI -,,,,,,,,,,
1532806,EQ,green,Indonesia,2026-04-03T01:02:39,2026-04-03T01:02:39,4.6,35.0,Few people affected in MMI -,,,,,,,,,,
1532796,EQ,green,Indonesia,2026-04-03T00:32:57,2026-04-03T00:32:57,5.3,35.0,Few people affected in MMI -,,,,,,,,,,
1532793,EQ,green,Indonesia,2026-04-03T00:22:20,2026-04-03T00:22:20,5.4,35.0,70 thousand in MMI III,,,,,,,,,,
