event_id,ticker,event_date,car_t1,car_t3,car_t5,beta,alpha,n_est,error,source
RAND_2025-01-31_JETS,JETS,2025-01-31,-0.01062959188509302,-0.014553476911264848,0.005809218675264627,0.658569,0.00166,34,,random
RAND_2025-06-15_WOOD,WOOD,2025-06-15,-0.008417539648212487,0.0040174130814473906,0.002891497852299514,0.698614,-0.0009,35,,random
RAND_2024-12-20_IAK,IAK,2024-12-20,-0.0019162659467774825,0.0062157994545479515,0.006878657989057199,0.769343,-0.001,37,,random
RAND_2025-02-18_MOO,MOO,2025-02-18,-0.0002920385886418991,0.0018091168195999595,0.016007497801519693,0.433615,0.00067,31,,random
RAND_2024-11-15_IAK,IAK,2024-11-15,0.0013087255382358597,-0.007744628710977617,0.01457045695442422,0.815411,-0.000699,38,,random
RAND_2025-02-03_MOO,MOO,2025-02-03,0.0028344220681467604,-0.0270473628740684,-0.0219854432935277,0.730495,-8e-05,32,,random
RAND_2025-02-13_JETS,JETS,2025-02-13,0.012562412896280637,0.011412048558559743,-0.03021550022626741,0.522724,0.000783,33,,random
RAND_2024-11-16_XHB,XHB,2024-11-16,-0.0014557753739703186,0.01984826711741631,0.07621471509924718,0.936537,-0.001653,38,,random
RAND_2025-01-31_IAK,IAK,2025-01-31,0.007679634460053151,0.005109806357938983,0.014790607500411338,0.76786,-0.002299,34,,random
RAND_2025-02-10_WOOD,WOOD,2025-02-10,-0.005261663300408113,0.0003222520659281799,-0.00011219567897164653,0.876487,4.7e-05,32,,random
RAND_2025-02-09_MOO,MOO,2025-02-09,0.003911076057431651,-0.010694871364118369,0.001664590045328547,0.653155,0.00027,33,,random
RAND_2024-11-14_XLE,XLE,2024-11-14,-0.00028498309044916307,-0.00018441853178125314,0.012530037450126656,0.346164,0.002032,37,,random
RAND_2024-11-15_XLU,XLU,2024-11-15,0.009459515968406943,0.017002655449730217,0.030116933414673756,-0.125015,-0.000171,38,,random
RAND_2025-02-04_XLU,XLU,2025-02-04,0.0068188442515507465,0.007487647795037098,0.018064699891329663,0.714626,-0.000286,32,,random
RAND_2024-12-21_IAK,IAK,2024-12-21,0.003227881405753582,0.00476078688431646,0.013059180426491818,0.745191,-0.000561,37,,random
RAND_2024-11-16_XME,XME,2024-11-16,0.0013339015995451585,0.011529427520347477,-0.0003089488221756937,1.819129,0.002484,38,,random
RAND_2025-04-15_IAK,IAK,2025-04-15,0.006158671366357693,-0.02051915721405717,-0.02199942221669178,0.86786,0.002896,35,,random
RAND_2024-11-17_JETS,JETS,2024-11-17,-0.010753924075797956,-0.022144461820328722,-0.011316119136781114,1.233735,0.004422,37,,random
RAND_2025-04-13_IAK,IAK,2025-04-13,-0.008782178335927874,-0.013185298158768776,-0.017859156505967037,0.850851,0.002982,36,,random
RAND_2025-04-12_IAK,IAK,2025-04-12,-0.008471608868812232,-0.0123027469786555,-0.016337198154964847,0.847072,0.002674,37,,random
RAND_2025-02-13_MOO,MOO,2025-02-13,0.00469725177030254,0.012566441029492972,0.019051012637211866,0.67653,0.000304,33,,random
RAND_2025-02-05_MOO,MOO,2025-02-05,-0.014776640550951145,-0.010256762233414794,-0.015676763585598268,0.626094,0.000191,32,,random
RAND_2025-02-10_IAK,IAK,2025-02-10,0.0053179451244823985,0.0035384295938167137,-0.002877467832306989,0.567259,0.000191,32,,random
RAND_2025-02-18_XHB,XHB,2025-02-18,-0.010507517238517877,-0.02072276243021177,0.011161212795559122,1.101147,-0.001234,31,,random
RAND_2025-02-16_XHB,XHB,2025-02-16,-0.009965049949002007,-0.018710001721780306,0.01439599685949718,1.131675,-0.00174,33,,random
RAND_2025-06-15_MOO,MOO,2025-06-15,-0.0014288922228811608,-0.014419585236171468,-0.0331680837678067,0.656256,0.000778,35,,random
RAND_2025-06-12_IAK,IAK,2025-06-12,0.0040152974887195155,0.004457380849566981,0.01610994238749029,0.87471,-0.001789,35,,random
RAND_2024-11-14_XHB,XHB,2024-11-14,0.0014138020514382725,-0.005507106094448808,0.015311168633642512,0.957328,-0.001449,37,,random
RAND_2025-02-09_MOO,MOO,2025-02-09,0.003911076057431651,-0.010694871364118369,0.001664590045328547,0.653155,0.00027,33,,random
RAND_2025-02-17_IAK,IAK,2025-02-17,0.00490340332331801,-0.005505832233816416,0.027323635999598958,0.313539,0.000887,32,,random
RAND_2025-04-15_IAK,IAK,2025-04-15,0.006158671366357693,-0.02051915721405717,-0.02199942221669178,0.86786,0.002896,35,,random
RAND_2024-12-15_MOO,MOO,2024-12-15,-0.0037482849530048497,-0.028870807313117933,-0.021091222619971057,0.375725,-0.001321,36,,random
RAND_2025-02-01_IAK,IAK,2025-02-01,-0.006541445392627131,-6.17980029040217e-05,-0.008324223263154327,0.773505,-0.001917,34,,random
RAND_2025-04-12_XLU,XLU,2025-04-12,-0.0010974891907069685,0.0053237760956447045,0.0037103860154035096,0.552983,0.000625,37,,random
RAND_2025-02-11_IAK,IAK,2025-02-11,-0.0081119786215448,-0.01099202264739047,-0.0010806510004506163,0.560368,-3.3e-05,32,,random
RAND_2025-02-13_IAK,IAK,2025-02-13,-0.009773073430619585,9.997111084983443e-05,-0.005038541105911036,0.546934,6e-06,33,,random
RAND_2024-12-12_IAK,IAK,2024-12-12,0.010441667406010812,-0.00487868055600335,-0.009181767225837103,0.670621,0.000525,36,,random
RAND_2024-11-15_JETS,JETS,2024-11-15,-0.0312899017237844,-0.045829318926865634,-0.05397072879981479,1.239377,0.004514,38,,random
RAND_2025-02-09_MOO,MOO,2025-02-09,0.003911076057431651,-0.010694871364118369,0.001664590045328547,0.653155,0.00027,33,,random
RAND_2024-11-18_MOO,MOO,2024-11-18,-0.0011263527860887435,0.017554320796207928,0.03298708013624727,0.601761,-0.001823,36,,random
RAND_2025-02-02_XLU,XLU,2025-02-02,-0.01444477774208247,-0.010573135288504865,-0.0015064978107451913,0.635885,-0.000147,33,,random
RAND_2025-04-19_WOOD,WOOD,2025-04-19,0.0031211620884191126,-0.011507704081197032,-0.008488923644141201,0.827567,-0.001124,37,,random
RAND_2024-11-17_MOO,MOO,2024-11-17,-0.001491390743568163,0.01660509609498844,0.031181301012661224,0.684182,-0.001686,37,,random
RAND_2025-02-13_IAK,IAK,2025-02-13,-0.009773073430619585,9.997111084983443e-05,-0.005038541105911036,0.546934,6e-06,33,,random
RAND_2025-04-15_XHB,XHB,2025-04-15,-0.011043493109565889,-0.0022509715359192474,0.015449775957057484,0.632245,-0.00182,35,,random
RAND_2024-12-14_MOO,MOO,2024-12-14,-0.0038473326033664594,-0.02874167416436002,-0.021571793026220778,0.39474,-0.001149,37,,random
RAND_2024-11-14_XHB,XHB,2024-11-14,0.0014138020514382725,-0.005507106094448808,0.015311168633642512,0.957328,-0.001449,37,,random
RAND_2024-12-18_XLU,XLU,2024-12-18,0.005752551498666895,0.028576863931541126,0.03492974552140442,-0.083697,-0.001216,35,,random
RAND_2025-04-19_XHB,XHB,2025-04-19,0.02098544547895039,0.022813957317227178,0.013256040479373161,0.795252,-0.001356,37,,random
RAND_2025-02-09_XHB,XHB,2025-02-09,0.005134771942061692,-0.007205284577494732,-0.012332375516490423,1.150695,-0.002124,33,,random
