event_id,event_type,event_date,primary_country,location_text,lat,lon,low_confidence,article_count,article_indices,rapidpopdescription,magnitude,depth,maximum_wind_speed_kmh,maximum_storm_surge_m,exposed_population,burned_area_ha,people_affected,duration_days,affected_area_km2,affected_country_count,dead,displaced,rapid_missing,rapid_few_people,rapid_unparsed,predicted_alert,prob_orange_or_red,severity_source,gdacs_alertlevel,country_iso2,country_name,key_industries,sector_etfs,sectors_from_kb,sectors_from_text
FL_0000,FL,2022-08-18,,Kaitāia,,,True,6,"[24414, 22621, 23350, 25803, 25815, 26151]",,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']","['construction', 'insurance']"
FL_0001,FL,2024-09-01,,Harsil,,,True,2,"[21561, 22267]",,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",['construction']
FL_0002,FL,2024-10-29,,Dharali,,,True,2,"[24592, 22594]",,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",[]
FL_0003,FL,2024-12-01,,the North Shore,,,False,7,"[22015, 22302, 23009, 23212, 23298, 23300, 22758]",,,,,,,,,,,,48.0,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",['agriculture']
FL_0004,FL,2025-02-20,,North Lismore,,,True,2,"[22937, 24645]",,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",['construction']
FL_0005,FL,2025-03-01,,Marathwada,,,True,3,"[23001, 23717, 24527]",,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",['agriculture']
FL_0006,FL,2025-03-01,,Suicide,,,True,1,[24091],,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",['agriculture']
FL_0007,FL,2025-03-01,,the Buller River,,,True,1,[24653],,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",[]
FL_0008,FL,2025-03-20,,,,,True,2,"[21368, 21534]",,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",[]
FL_0009,FL,2025-06-20,,the Bay of Plenty,,,True,2,"[25727, 26010]",,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",[]
FL_0010,FL,2025-07-01,,New Mexico’s,,,True,2,"[25307, 22135]",,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",[]
FL_0011,FL,2025-07-30,,Nepal-China,,,False,21,"[21214, 22034, 22415, 25048, 21606, 22194, 21668, 21930, 22324, 22401, 22437, 21689, 21716, 22279, 22454, 22851, 25807, 21265, 21674, 22134, 22280]",,,,,,,,,,,,,3168.0,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction', 'tourism', 'utilities']","['IAK', 'MOO', 'XHB', 'JETS', 'XLU']","['insurance', 'agriculture', 'construction']","['construction', 'tourism', 'utilities']"
FL_0012,FL,2025-08-01,,Southeast,,,True,5,"[21275, 21837, 22118, 22332, 22398]",,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",[]
FL_0013,FL,2025-08-01,,Bay of Plenty,,,True,3,"[21998, 22211, 22853]",,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",[]
FL_0014,FL,2025-08-02,,Kendrapada,,,True,1,[22794],,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",[]
FL_0015,FL,2025-08-03,,Baitarani,,,True,1,[21782],,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction', 'utilities']","['IAK', 'MOO', 'XHB', 'XLU']","['insurance', 'agriculture', 'construction']",['utilities']
FL_0016,FL,2025-08-03,,Anjuna,,,True,1,[22310],,,,,,,,,,,,,,,,,green,,ml,,,,"['insurance', 'agriculture', 'construction']","['IAK', 'MOO', 'XHB']","['insurance', 'agriculture', 'construction']",['construction']
