event_type,severity,sector,window,n,mean_car,p_value,significant_5pct
DR,green,agriculture,car_t1,39,0.00041,0.6384,False
DR,green,agriculture,car_t3,39,-0.00412,0.0114,True
DR,green,agriculture,car_t5,39,-0.00407,0.0359,True
DR,green,construction,car_t1,3,0.00196,0.6143,False
DR,green,construction,car_t3,3,-0.01618,0.2095,False
DR,green,construction,car_t5,3,-0.00481,0.6258,False
DR,green,financial,car_t1,2,-0.00388,,
DR,green,financial,car_t3,2,-0.01147,,
DR,green,financial,car_t5,2,-0.01491,,
DR,green,insurance,car_t1,6,0.00393,0.3851,False
DR,green,insurance,car_t3,6,0.0042,0.7052,False
DR,green,insurance,car_t5,6,0.0073,0.6472,False
DR,green,mining,car_t1,1,-0.00286,,
DR,green,mining,car_t3,1,0.01413,,
DR,green,mining,car_t5,1,0.00225,,
DR,green,oil,car_t1,4,0.00323,0.7136,False
DR,green,oil,car_t3,4,0.01072,0.4408,False
DR,green,oil,car_t5,4,-0.00101,0.965,False
DR,green,timber,car_t1,3,-0.0092,0.1427,False
DR,green,timber,car_t3,3,-0.01444,0.2468,False
DR,green,timber,car_t5,3,-0.00835,0.651,False
DR,green,tourism,car_t1,2,0.00386,,
DR,green,tourism,car_t3,2,0.01353,,
DR,green,tourism,car_t5,2,0.02647,,
DR,green,utilities,car_t1,6,-0.00397,0.0563,False
DR,green,utilities,car_t3,6,0.00336,0.513,False
DR,green,utilities,car_t5,6,-0.00506,0.6345,False
EQ,green,agriculture,car_t1,16,-0.00096,0.5956,False
EQ,green,agriculture,car_t3,16,-0.00485,0.0838,False
EQ,green,agriculture,car_t5,16,-0.00274,0.4588,False
EQ,green,automotive,car_t1,2,-0.00142,,
EQ,green,automotive,car_t3,2,6e-05,,
EQ,green,automotive,car_t5,2,-0.00376,,
EQ,green,coal,car_t1,1,-0.02349,,
EQ,green,coal,car_t3,1,-0.03221,,
EQ,green,coal,car_t5,1,-0.02697,,
EQ,green,construction,car_t1,55,0.00262,0.1528,False
EQ,green,construction,car_t3,55,0.00168,0.5914,False
EQ,green,construction,car_t5,55,-0.00272,0.4644,False
EQ,green,energy,car_t1,1,0.0186,,
EQ,green,energy,car_t3,1,0.04418,,
EQ,green,energy,car_t5,1,0.03177,,
EQ,green,financial,car_t1,1,0.00151,,
EQ,green,financial,car_t3,1,0.00061,,
EQ,green,financial,car_t5,1,0.00512,,
EQ,green,garment,car_t1,2,0.00289,,
EQ,green,garment,car_t3,2,0.007,,
EQ,green,garment,car_t5,2,0.01068,,
EQ,green,gas,car_t1,2,0.00079,,
EQ,green,gas,car_t3,2,0.01035,,
EQ,green,gas,car_t5,2,0.03321,,
EQ,green,insurance,car_t1,55,0.00123,0.2765,False
EQ,green,insurance,car_t3,55,0.00326,0.1542,False
EQ,green,insurance,car_t5,55,0.0055,0.0451,True
EQ,green,mining,car_t1,4,-0.00945,0.5873,False
EQ,green,mining,car_t3,4,0.00138,0.9544,False
EQ,green,mining,car_t5,4,0.01568,0.697,False
EQ,green,shipping,car_t1,1,0.00858,,
EQ,green,shipping,car_t3,1,0.01297,,
EQ,green,shipping,car_t5,1,-0.00607,,
EQ,green,timber,car_t1,1,0.0074,,
EQ,green,timber,car_t3,1,-0.00096,,
EQ,green,timber,car_t5,1,0.00109,,
EQ,green,tourism,car_t1,1,0.02194,,
EQ,green,tourism,car_t3,1,0.03891,,
EQ,green,tourism,car_t5,1,0.08685,,
EQ,green,utilities,car_t1,2,0.00181,,
EQ,green,utilities,car_t3,2,-0.00922,,
EQ,green,utilities,car_t5,2,-0.00202,,
EQ,orange_or_red,agriculture,car_t1,13,-0.00273,0.0917,False
EQ,orange_or_red,agriculture,car_t3,13,-0.00544,0.0378,True
EQ,orange_or_red,agriculture,car_t5,13,-0.00742,0.0949,False
EQ,orange_or_red,automotive,car_t1,2,-0.0004,,
EQ,orange_or_red,automotive,car_t3,2,-0.0028,,
EQ,orange_or_red,automotive,car_t5,2,0.00732,,
EQ,orange_or_red,coal,car_t1,1,0.01714,,
EQ,orange_or_red,coal,car_t3,1,0.0218,,
EQ,orange_or_red,coal,car_t5,1,0.03322,,
EQ,orange_or_red,construction,car_t1,34,0.0026,0.3518,False
EQ,orange_or_red,construction,car_t3,34,0.00099,0.8116,False
EQ,orange_or_red,construction,car_t5,34,-0.00173,0.7333,False
EQ,orange_or_red,copper_mining,car_t1,2,0.00392,,
EQ,orange_or_red,copper_mining,car_t3,2,0.00615,,
EQ,orange_or_red,copper_mining,car_t5,2,0.00217,,
EQ,orange_or_red,gas,car_t1,2,-0.00113,,
EQ,orange_or_red,gas,car_t3,2,-0.00557,,
EQ,orange_or_red,gas,car_t5,2,-0.00661,,
EQ,orange_or_red,insurance,car_t1,34,-0.00135,0.3869,False
EQ,orange_or_red,insurance,car_t3,34,0.00319,0.2329,False
EQ,orange_or_red,insurance,car_t5,34,0.00021,0.9625,False
EQ,orange_or_red,mining,car_t1,8,0.00569,0.2629,False
EQ,orange_or_red,mining,car_t3,8,0.00717,0.4561,False
EQ,orange_or_red,mining,car_t5,8,0.00719,0.665,False
EQ,orange_or_red,palm_oil,car_t1,3,-0.02389,0.2563,False
EQ,orange_or_red,palm_oil,car_t3,3,-0.03615,0.334,False
EQ,orange_or_red,palm_oil,car_t5,3,-0.03318,0.531,False
EQ,orange_or_red,tourism,car_t1,8,0.01117,0.2978,False
EQ,orange_or_red,tourism,car_t3,8,0.01757,0.1558,False
EQ,orange_or_red,tourism,car_t5,8,0.0241,0.0416,True
EQ,orange_or_red,utilities,car_t1,2,0.00801,,
EQ,orange_or_red,utilities,car_t3,2,0.01771,,
EQ,orange_or_red,utilities,car_t5,2,0.02674,,
FL,green,agriculture,car_t1,114,-0.00014,0.8163,False
FL,green,agriculture,car_t3,114,0.00014,0.8903,False
FL,green,agriculture,car_t5,114,0.00184,0.1796,False
FL,green,automotive,car_t1,1,-0.00378,,
FL,green,automotive,car_t3,1,-0.00534,,
FL,green,automotive,car_t5,1,-0.01779,,
FL,green,coal,car_t1,1,-0.01327,,
FL,green,coal,car_t3,1,-0.01996,,
FL,green,coal,car_t5,1,0.03553,,
FL,green,construction,car_t1,114,-0.00079,0.5774,False
FL,green,construction,car_t3,114,-0.0008,0.7224,False
FL,green,construction,car_t5,114,-0.00101,0.7257,False
FL,green,financial,car_t1,2,0.0004,,
FL,green,financial,car_t3,2,0.01342,,
FL,green,financial,car_t5,2,0.02063,,
FL,green,infrastructure,car_t1,1,-0.01007,,
FL,green,infrastructure,car_t3,1,-0.01214,,
FL,green,infrastructure,car_t5,1,-0.04982,,
FL,green,insurance,car_t1,114,0.00064,0.4712,False
FL,green,insurance,car_t3,114,4e-05,0.9818,False
FL,green,insurance,car_t5,114,0.00156,0.4632,False
FL,green,mining,car_t1,2,-0.01816,,
FL,green,mining,car_t3,2,-0.02112,,
FL,green,mining,car_t5,2,-0.04231,,
FL,green,palm_oil,car_t1,2,0.00241,,
FL,green,palm_oil,car_t3,2,0.01181,,
FL,green,palm_oil,car_t5,2,0.03181,,
