event_type,severity,sector,window,n,mean_car,p_value,significant_5pct
DR,green,agriculture,car_t1,160,-0.00134,0.0104,True
DR,green,agriculture,car_t3,160,-0.00247,0.0172,True
DR,green,agriculture,car_t5,160,-0.0042,0.0021,True
DR,green,automotive,car_t1,1,-0.00475,,
DR,green,automotive,car_t3,1,0.00805,,
DR,green,automotive,car_t5,1,0.01847,,
DR,green,coal,car_t1,1,-0.01521,,
DR,green,coal,car_t3,1,-0.01461,,
DR,green,coal,car_t5,1,-0.02097,,
DR,green,coffee,car_t1,1,-0.00871,,
DR,green,coffee,car_t3,1,-0.03393,,
DR,green,coffee,car_t5,1,-0.01999,,
DR,green,construction,car_t1,69,-0.00033,0.8153,False
DR,green,construction,car_t3,69,-0.00132,0.6391,False
DR,green,construction,car_t5,69,-0.00041,0.9154,False
DR,green,energy,car_t1,47,-0.00139,0.4803,False
DR,green,energy,car_t3,47,0.00085,0.8337,False
DR,green,energy,car_t5,47,-0.00129,0.7628,False
DR,green,financial,car_t1,1,0.00431,,
DR,green,financial,car_t3,1,0.0014,,
DR,green,financial,car_t5,1,0.01276,,
DR,green,forestry,car_t1,2,0.01469,,
DR,green,forestry,car_t3,2,0.0075,,
DR,green,forestry,car_t5,2,-0.0035,,
DR,green,infrastructure,car_t1,7,-0.01182,0.0891,False
DR,green,infrastructure,car_t3,7,-0.00893,0.247,False
DR,green,infrastructure,car_t5,7,-0.01463,0.0937,False
DR,green,insurance,car_t1,162,-0.00142,0.0522,False
DR,green,insurance,car_t3,162,-0.00196,0.1406,False
DR,green,insurance,car_t5,162,-0.0044,0.0142,True
DR,green,mining,car_t1,19,-0.00084,0.7527,False
DR,green,mining,car_t3,19,-0.0057,0.3102,False
DR,green,mining,car_t5,19,-0.00608,0.4404,False
DR,green,oil,car_t1,16,0.00054,0.8694,False
DR,green,oil,car_t3,16,0.00167,0.7396,False
DR,green,oil,car_t5,16,0.00451,0.51,False
DR,green,palm_oil,car_t1,2,-0.00529,,
DR,green,palm_oil,car_t3,2,-0.00805,,
DR,green,palm_oil,car_t5,2,-0.01832,,
DR,green,power,car_t1,3,-0.00305,0.6341,False
DR,green,power,car_t3,3,-0.00052,0.9126,False
DR,green,power,car_t5,3,0.00178,0.1534,False
DR,green,rubber,car_t1,1,-0.01869,,
DR,green,rubber,car_t3,1,-0.03266,,
DR,green,rubber,car_t5,1,-0.03782,,
DR,green,textiles,car_t1,1,-0.00524,,
DR,green,textiles,car_t3,1,-0.03522,,
DR,green,textiles,car_t5,1,-0.02154,,
DR,green,timber,car_t1,20,-0.00298,0.0858,False
DR,green,timber,car_t3,20,-0.00265,0.4248,False
DR,green,timber,car_t5,20,0.0012,0.7824,False
DR,green,tourism,car_t1,36,-0.00049,0.8705,False
DR,green,tourism,car_t3,36,0.00286,0.4746,False
DR,green,tourism,car_t5,36,0.00337,0.4886,False
DR,green,utilities,car_t1,78,0.00065,0.5771,False
DR,green,utilities,car_t3,78,-0.00295,0.1292,False
DR,green,utilities,car_t5,78,-0.00275,0.272,False
EQ,green,agriculture,car_t1,83,-0.00099,0.1541,False
EQ,green,agriculture,car_t3,83,-0.00134,0.3043,False
EQ,green,agriculture,car_t5,83,-0.00366,0.0437,True
EQ,green,automotive,car_t1,1,0.01173,,
EQ,green,automotive,car_t3,1,0.04278,,
EQ,green,automotive,car_t5,1,0.04898,,
EQ,green,coal,car_t1,5,-0.01606,0.0002,True
EQ,green,coal,car_t3,5,-0.02501,0.0486,True
EQ,green,coal,car_t5,5,-0.0135,0.448,False
EQ,green,construction,car_t1,53,-0.00137,0.4305,False
EQ,green,construction,car_t3,53,-0.00778,0.0181,True
EQ,green,construction,car_t5,53,-0.00581,0.1327,False
EQ,green,energy,car_t1,39,-0.00133,0.429,False
EQ,green,energy,car_t3,39,0.00267,0.4079,False
EQ,green,energy,car_t5,39,-0.00185,0.6806,False
EQ,green,gas,car_t1,1,-0.02977,,
EQ,green,gas,car_t3,1,-0.03378,,
EQ,green,gas,car_t5,1,-0.03203,,
EQ,green,infrastructure,car_t1,11,-0.00032,0.9269,False
EQ,green,infrastructure,car_t3,11,-0.00543,0.4284,False
EQ,green,infrastructure,car_t5,11,-0.00578,0.478,False
EQ,green,insurance,car_t1,126,-0.00089,0.2479,False
EQ,green,insurance,car_t3,126,-0.00232,0.12,False
EQ,green,insurance,car_t5,126,-0.00342,0.1187,False
EQ,green,mining,car_t1,9,-0.00325,0.2882,False
EQ,green,mining,car_t3,9,0.00863,0.2003,False
EQ,green,mining,car_t5,9,0.00508,0.362,False
EQ,green,oil,car_t1,5,-4e-05,0.9896,False
EQ,green,oil,car_t3,5,0.0022,0.5887,False
EQ,green,oil,car_t5,5,-0.00469,0.51,False
EQ,green,palm_oil,car_t1,1,0.01758,,
EQ,green,palm_oil,car_t3,1,-0.0158,,
EQ,green,palm_oil,car_t5,1,-0.01325,,
EQ,green,power,car_t1,2,1e-05,,
EQ,green,power,car_t3,2,0.00343,,
EQ,green,power,car_t5,2,0.00339,,
EQ,green,textiles,car_t1,5,-0.00084,0.8641,False
EQ,green,textiles,car_t3,5,0.00215,0.5026,False
EQ,green,textiles,car_t5,5,0.02331,0.0218,True
EQ,green,timber,car_t1,2,-0.00934,,
